puzzle_id,clue_count,empty_cells,mean_domain_size,domain_variance,min_domain_size,max_domain_size,singleton_count,singleton_ratio,pair_count,pair_ratio,triple_count,triple_ratio,candidate_domain_entropy,row_clue_variance,column_clue_variance,box_clue_variance,min_row_clues,max_row_clues,min_column_clues,max_column_clues,min_box_clues,max_box_clues
P001,30,51,3.0,1.1764705882352942,1,6,4,0.0784313725490196,13,0.2549019607843137,17,0.3333333333333333,1.473983945152069,0.2222222222222222,2.6666666666666665,2.0,3,4,1,6,1,5
P002,21,60,4.233333333333333,0.8122222222222225,2,7,0,0.0,1,0.016666666666666666,11,0.18333333333333332,2.0475071554863327,0.4444444444444444,0.6666666666666666,1.3333333333333333,1,3,1,3,1,4
P003,80,1,1.0,0.0,1,1,1,1.0,0,0.0,0,0.0,0.0,0.09876543209876544,0.09876543209876544,0.09876543209876544,8,9,8,9,8,9
