puzzle_id,source,source_difficulty,clue_count,solver,solver_version,solved,solution_valid,recursive_calls,candidate_checks,constraint_rejections,committed_assignments,backtracked_assignments,backtrack_events,search_nodes,max_depth,solution_depth
SE0053,sudoku_exchange,hard,31,BT_NAIVE,1.0,1,1,1956,17396,15441,1955,1905,1221,1956,50,50
SE0054,sudoku_exchange,hard,25,BT_NAIVE,1.0,1,1,10573,94931,84359,10572,10516,6563,10573,56,56
SE0055,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,2980,26593,23614,2979,2926,2112,2980,53,53
SE0056,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,3875,34654,30780,3874,3821,2826,3875,53,53
SE0057,sudoku_exchange,hard,27,BT_NAIVE,1.0,1,1,126637,1139507,1012871,126636,126582,89621,126637,54,54
SE0058,sudoku_exchange,hard,24,BT_NAIVE,1.0,1,1,43280,389290,346011,43279,43222,31899,43280,57,57
SE0059,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,342,2846,2505,341,288,192,342,53,53
SE0060,sudoku_exchange,hard,33,BT_NAIVE,1.0,1,1,2334,20813,18480,2333,2285,1696,2334,48,48
SE0061,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,14729,132351,117623,14728,14675,9454,14729,53,53
SE0062,sudoku_exchange,hard,30,BT_NAIVE,1.0,1,1,1331,11738,10408,1330,1279,837,1331,51,51
SE0063,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,1137,10013,8877,1136,1083,796,1137,53,53
SE0064,sudoku_exchange,hard,29,BT_NAIVE,1.0,1,1,1755,15588,13834,1754,1702,1235,1755,52,52
SE0065,sudoku_exchange,hard,27,BT_NAIVE,1.0,1,1,37803,340017,302215,37802,37748,26142,37803,54,54
SE0066,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,982,8606,7625,981,928,695,982,53,53
SE0067,sudoku_exchange,hard,31,BT_NAIVE,1.0,1,1,271,2210,1940,270,220,155,271,50,50
SE0068,sudoku_exchange,hard,27,BT_NAIVE,1.0,1,1,5931,53137,47207,5930,5876,4318,5931,54,54
SE0069,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,6765,60669,53905,6764,6711,4846,6765,53,53
SE0070,sudoku_exchange,hard,32,BT_NAIVE,1.0,1,1,83,536,454,82,33,19,83,49,49
SE0071,sudoku_exchange,hard,25,BT_NAIVE,1.0,1,1,65970,593504,527535,65969,65913,46233,65970,56,56
SE0072,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,16523,148488,131966,16522,16469,11483,16523,53,53
SE0073,sudoku_exchange,hard,28,BT_NAIVE,1.0,1,1,21541,193657,172117,21540,21487,14004,21541,53,53
SE0074,sudoku_exchange,hard,26,BT_NAIVE,1.0,1,1,2059,18300,16242,2058,2003,1453,2059,55,55
SE0075,sudoku_exchange,hard,26,BT_NAIVE,1.0,1,1,9599,86159,76561,9598,9543,6500,9599,55,55
SE0076,sudoku_exchange,diabolical,25,BT_NAIVE,1.0,1,1,48085,432522,384438,48084,48028,33442,48085,56,56
SE0077,sudoku_exchange,diabolical,26,BT_NAIVE,1.0,1,1,14543,130658,116116,14542,14487,9874,14543,55,55
SE0078,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,5990,53708,47719,5989,5936,4086,5990,53,53
SE0079,sudoku_exchange,diabolical,26,BT_NAIVE,1.0,1,1,6232,55868,49637,6231,6176,4264,6232,55,55
SE0080,sudoku_exchange,diabolical,29,BT_NAIVE,1.0,1,1,15531,139557,124027,15530,15478,10992,15531,52,52
SE0081,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,13254,119056,105803,13253,13200,9303,13254,53,53
SE0082,sudoku_exchange,diabolical,25,BT_NAIVE,1.0,1,1,229419,2064521,1835103,229418,229362,164648,229419,56,56
SE0083,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,1316,11622,10307,1315,1262,786,1316,53,53
SE0084,sudoku_exchange,diabolical,24,BT_NAIVE,1.0,1,1,70809,637045,566237,70808,70751,48675,70809,57,57
SE0085,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,13209,118665,105457,13208,13155,8757,13209,53,53
SE0086,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,728,6333,5606,727,674,509,728,53,53
SE0087,sudoku_exchange,diabolical,32,BT_NAIVE,1.0,1,1,1110,9787,8678,1109,1060,753,1110,49,49
SE0088,sudoku_exchange,diabolical,27,BT_NAIVE,1.0,1,1,61156,550166,489011,61155,61101,43527,61156,54,54
SE0089,sudoku_exchange,diabolical,30,BT_NAIVE,1.0,1,1,8357,74976,66620,8356,8305,5883,8357,51,51
SE0090,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,1129,9938,8810,1128,1075,754,1129,53,53
SE0091,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,6958,62398,55441,6957,6904,4833,6958,53,53
SE0092,sudoku_exchange,diabolical,25,BT_NAIVE,1.0,1,1,16927,152096,135170,16926,16870,11962,16927,56,56
SE0093,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,17440,156719,139280,17439,17386,12796,17440,53,53
SE0094,sudoku_exchange,diabolical,27,BT_NAIVE,1.0,1,1,1948,17302,15355,1947,1893,1404,1948,54,54
SE0095,sudoku_exchange,diabolical,27,BT_NAIVE,1.0,1,1,47214,424703,377490,47213,47159,34873,47214,54,54
SE0096,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,6169,55299,49131,6168,6115,4453,6169,53,53
SE0097,sudoku_exchange,diabolical,27,BT_NAIVE,1.0,1,1,11478,103073,91596,11477,11423,8143,11478,54,54
SE0098,sudoku_exchange,diabolical,27,BT_NAIVE,1.0,1,1,10552,94729,84178,10551,10497,7646,10552,54,54
SE0099,sudoku_exchange,diabolical,28,BT_NAIVE,1.0,1,1,244,1994,1751,243,190,114,244,53,53
SE0100,sudoku_exchange,diabolical,29,BT_NAIVE,1.0,1,1,4977,44584,39608,4976,4924,3506,4977,52,52
