id,empty_cells,recursive_calls,backtracks,candidate_checks,successful_assignments,failed_assignments,maximum_depth,execution_time_ms,solved
140,38,101,62,736,100,62,39,0.000,1
141,40,46,5,246,45,5,41,0.000,1
142,38,87,48,633,86,48,39,0.000,1
143,39,49,9,294,48,9,40,0.000,1
144,35,40,4,216,39,4,36,0.000,1
145,44,74,29,480,73,29,45,0.000,1
146,45,100,54,717,99,54,46,0.000,1
147,37,63,25,410,62,25,38,0.000,1
148,44,167,122,1312,166,122,45,0.000,1
149,38,137,98,1082,136,98,39,1.000,1
150,44,710,665,6204,709,665,45,1.000,1
151,40,238,197,1962,237,197,41,0.000,1
152,39,77,37,514,76,37,40,0.000,1
153,40,46,5,226,45,5,41,0.000,1
154,41,124,82,931,123,82,42,0.000,1
155,42,159,116,1249,158,116,43,0.000,1
156,44,379,334,3215,378,334,45,0.000,1
157,39,50,10,302,49,10,40,0.000,1
158,43,478,434,4125,477,434,44,1.000,1
159,38,304,265,2578,303,265,39,0.000,1
160,39,57,17,348,56,17,40,0.000,1
161,39,52,12,316,51,12,40,0.000,1
162,41,319,277,2675,318,277,42,0.000,1
163,39,45,5,223,44,5,40,0.000,1
164,31,45,13,263,44,13,32,0.000,1
165,43,573,529,4974,572,529,44,1.000,1
166,42,399,356,3414,398,356,43,0.000,1
167,42,48,5,253,47,5,43,0.000,1
168,35,40,4,192,39,4,36,0.000,1
169,43,111,67,832,110,67,44,0.000,1
170,46,616,569,5353,615,569,47,0.000,1
171,40,57,16,336,56,16,41,0.000,1
172,39,51,11,302,50,11,40,1.000,1
173,38,43,4,220,42,4,39,0.000,1
174,38,60,21,397,59,21,39,0.000,1
175,46,504,457,4323,503,457,47,1.000,1
176,41,91,49,642,90,49,42,0.000,1
177,40,73,32,473,72,32,41,0.000,1
178,40,59,18,363,58,18,41,0.000,1
179,37,52,14,316,51,14,38,0.000,1
180,40,70,29,453,69,29,41,1.000,1
181,40,59,18,353,58,18,41,0.000,1
182,39,67,27,432,66,27,40,0.000,1
183,43,53,9,303,52,9,44,0.000,1
184,39,47,7,265,46,7,40,0.000,1
185,40,134,93,1039,133,93,41,1.000,1
186,39,61,21,372,60,21,40,0.000,1
187,44,280,235,2333,279,235,45,0.000,1
188,46,544,497,4713,543,497,47,1.000,1
189,36,38,1,188,37,1,37,0.000,1
190,40,45,4,219,44,4,41,0.000,1
191,43,56,12,324,55,12,44,0.000,1
192,42,59,16,359,58,16,43,0.000,1
193,45,76,30,508,75,30,46,0.000,1
194,36,41,4,210,40,4,37,0.000,1
195,34,39,4,215,38,4,35,0.000,1
196,43,51,7,275,50,7,44,0.000,1
197,39,123,83,933,122,83,40,0.000,1
198,36,40,3,194,39,3,37,0.000,1
199,45,91,45,641,90,45,46,0.000,1
200,37,98,60,729,97,60,38,0.000,1
201,38,49,10,279,48,10,39,0.000,1
202,39,206,166,1700,205,166,40,1.000,1
203,42,147,104,1161,146,104,43,0.000,1
204,42,236,193,1955,235,193,43,0.000,1
205,41,67,25,435,66,25,42,1.000,1
206,41,129,87,999,128,87,42,0.000,1
207,40,79,38,544,78,38,41,0.000,1
208,41,543,501,4713,542,501,42,1.000,1
209,43,792,748,6937,791,748,44,0.000,1
210,39,104,64,773,103,64,40,0.000,1
211,33,35,1,163,34,1,34,0.000,1
212,41,70,28,463,69,28,42,0.000,1
213,38,45,6,238,44,6,39,0.000,1
214,36,43,6,231,42,6,37,0.000,1
215,39,69,29,467,68,29,40,0.000,1
216,43,131,87,987,130,87,44,0.000,1
217,40,149,108,1161,148,108,41,0.000,1
218,39,73,33,492,72,33,40,0.000,1
219,37,224,186,1864,223,186,38,1.000,1
220,39,78,38,544,77,38,40,0.000,1
221,42,67,24,432,66,24,43,0.000,1
222,39,50,10,274,49,10,40,0.000,1
223,43,47,3,240,46,3,44,0.000,1
224,44,453,408,3893,452,408,45,1.000,1
225,38,105,66,808,104,66,39,0.000,1
226,44,253,208,2094,252,208,45,0.000,1
227,46,122,75,920,121,75,47,0.000,1
228,39,269,229,2262,268,229,40,0.000,1
229,38,73,34,479,72,34,39,0.000,1
230,34,35,0,163,34,0,35,0.000,1
231,42,110,67,792,109,67,43,0.000,1
232,39,199,159,1614,198,159,40,0.000,1
233,36,72,35,496,71,35,37,0.000,1
234,44,114,69,841,113,69,45,0.000,1
235,38,40,1,209,39,1,39,0.000,1
236,42,115,72,853,114,72,43,0.000,1
237,44,121,76,900,120,76,45,0.000,1
238,39,63,23,408,62,23,40,0.000,1
239,38,137,98,1047,136,98,39,0.000,1
240,40,51,10,281,50,10,41,0.000,1
241,41,72,30,490,71,30,42,0.000,1
242,43,67,23,424,66,23,44,0.000,1
243,38,46,7,253,45,7,39,0.000,1
244,38,50,11,299,49,11,39,0.000,1
245,41,52,10,305,51,10,42,0.000,1
246,36,57,20,361,56,20,37,0.000,1
247,46,59,12,341,58,12,47,0.000,1
248,42,266,223,2215,265,223,43,0.000,1
249,40,43,2,206,42,2,41,0.000,1
250,46,84,37,566,83,37,47,1.000,1
251,52,1423,1370,12584,1422,1370,53,1.000,1
252,55,7765,7709,69658,7764,7709,56,7.000,1
253,54,8013,7958,71887,8012,7958,55,6.000,1
254,55,748,692,6500,747,692,56,1.000,1
255,56,9845,9788,88361,9844,9788,57,9.000,1
256,53,1611,1557,14275,1610,1557,54,0.000,1
257,53,426,372,3607,425,372,54,0.000,1
258,53,750,696,6520,749,696,54,1.000,1
259,54,17627,17572,158424,17626,17572,55,7.000,1
260,57,64161,64103,577208,64160,64103,58,45.000,1
261,57,1219,1161,10738,1218,1161,58,1.000,1
262,52,1305,1252,11544,1304,1252,53,1.000,1
263,53,131329,131275,1181738,131328,131275,54,56.000,1
264,54,1407,1352,12435,1406,1352,55,1.000,1
265,53,2167,2113,19271,2166,2113,54,2.000,1
266,53,85967,85913,773480,85966,85913,54,46.000,1
267,54,3390,3335,30292,3389,3335,55,2.000,1
268,52,2013,1960,17924,2012,1960,53,1.000,1
269,56,2639,2582,23520,2638,2582,57,2.000,1
270,56,6654,6597,59636,6653,6597,57,6.000,1
271,55,379,323,3187,378,323,56,0.000,1
272,53,5322,5268,47676,5321,5268,54,6.000,1
273,54,76778,76723,690765,76777,76723,55,67.000,1
274,53,83030,82976,747050,83029,82976,54,45.000,1
275,52,294,241,2428,293,241,53,0.000,1
276,53,4764,4710,42657,4763,4710,54,2.000,1
277,52,1384,1331,12241,1383,1331,53,0.000,1
278,54,2386,2331,21261,2385,2331,55,1.000,1
279,52,8398,8345,75354,8397,8345,53,4.000,1
280,54,12173,12118,109331,12172,12118,55,8.000,1
281,54,57436,57381,516706,57435,57381,55,36.000,1
282,55,411,355,3473,410,355,56,0.000,1
283,58,17382,17323,156207,17381,17323,59,9.000,1
284,54,1873,1818,16632,1872,1818,55,1.000,1
285,53,50158,50104,451205,50157,50104,54,23.000,1
286,54,11473,11418,103026,11472,11418,55,8.000,1
287,52,2861,2808,25543,2860,2808,53,4.000,1
288,54,3663,3608,32745,3662,3608,55,3.000,1
289,54,7594,7539,68134,7593,7539,55,7.000,1
290,51,47311,47259,425596,47310,47259,52,52.000,1
291,55,40501,40445,364270,40500,40445,56,38.000,1
292,54,16004,15949,143811,16003,15949,55,17.000,1
293,52,11100,11047,99694,11099,11047,53,14.000,1
294,52,11441,11388,102741,11440,11388,53,10.000,1
295,52,2654,2601,23664,2653,2601,53,2.000,1
296,54,26693,26638,239993,26692,26638,55,22.000,1
297,52,901,848,7894,900,848,53,0.000,1
298,51,3234,3182,28923,3233,3182,52,3.000,1
299,52,13928,13875,125130,13927,13875,53,5.000,1
300,54,82372,82317,741120,82371,82317,55,31.000,1
301,55,506,450,4331,505,450,56,0.000,1
302,51,12800,12748,114989,12799,12748,52,4.000,1
303,55,1212,1156,10683,1211,1156,56,1.000,1
304,56,2016,1959,17912,2015,1959,57,1.000,1
305,56,24502,24445,220289,24501,24445,57,7.000,1
306,54,48399,48344,435369,48398,48344,55,23.000,1
307,53,444,390,3777,443,390,54,0.000,1
308,55,11322,11266,101662,11321,11266,56,8.000,1
309,53,2803,2749,25028,2802,2749,54,3.000,1
310,52,13084,13031,117536,13083,13031,53,7.000,1
311,54,39496,39441,355242,39495,39441,55,25.000,1
312,50,2256,2205,20087,2255,2205,51,3.000,1
313,53,2880,2826,25712,2879,2826,54,2.000,1
314,52,961,908,8434,960,908,53,1.000,1
315,53,2538,2484,22623,2537,2484,54,2.000,1
316,58,60817,60758,547101,60816,60758,59,36.000,1
317,53,11564,11510,103840,11563,11510,54,4.000,1
318,52,3504,3451,31315,3503,3451,53,1.000,1
319,56,243590,243533,2192077,243589,243533,57,117.000,1
320,54,37234,37179,334892,37233,37179,55,13.000,1
321,53,2952,2898,26356,2951,2898,54,1.000,1
322,54,48732,48677,438378,48731,48677,55,19.000,1
323,53,656,602,5696,655,602,54,1.000,1
324,54,2697,2642,24037,2696,2642,55,1.000,1
325,51,7556,7504,67793,7555,7504,52,3.000,1
326,53,1752,1698,15547,1751,1698,54,0.000,1
327,55,818,762,7138,817,762,56,0.000,1
328,54,501,446,4295,500,446,55,1.000,1
329,55,2005,1949,17826,2004,1949,56,1.000,1
330,56,8199,8142,73560,8198,8142,57,3.000,1
331,53,6316,6262,56618,6315,6262,54,3.000,1
332,56,4121,4064,36857,4120,4064,57,1.000,1
333,53,574,520,4948,573,520,54,1.000,1
334,53,8612,8558,77293,8611,8558,54,4.000,1
335,53,62033,61979,558064,62032,61979,54,28.000,1
336,55,2191,2135,19479,2190,2135,56,1.000,1
337,54,3864,3809,34551,3863,3809,55,2.000,1
338,53,3858,3804,34521,3857,3804,54,1.000,1
339,55,299023,298967,2690972,299022,298967,56,118.000,1
340,55,1279,1223,11278,1278,1223,56,1.000,1
341,54,3961,3906,35422,3960,3906,55,3.000,1
342,51,1583,1531,14028,1582,1531,52,1.000,1
343,54,222916,222861,2006032,222915,222861,55,102.000,1
344,54,306,251,2526,305,251,55,1.000,1
345,55,10102,10046,90688,10101,10046,56,3.000,1
346,54,5347,5292,47887,5346,5292,55,2.000,1
347,55,171,115,1329,170,115,56,0.000,1
348,54,2227,2172,19809,2226,2172,55,1.000,1
349,51,1150,1098,10135,1149,1098,52,0.000,1
350,55,1882,1826,16702,1881,1826,56,1.000,1
351,54,769,714,6721,768,714,55,1.000,1
352,53,659,605,5706,658,605,54,1.000,1
353,56,3566,3509,31854,3565,3509,57,1.000,1
354,50,123,72,887,122,72,51,0.000,1
355,54,2746,2691,24495,2745,2691,55,1.000,1
356,52,654,601,5668,653,601,53,0.000,1
357,51,289,237,2403,288,237,52,0.000,1
358,55,27780,27724,249787,27779,27724,56,12.000,1
359,53,15024,14970,134976,15023,14970,54,7.000,1
360,53,40324,40270,362693,40323,40270,54,16.000,1
361,52,4950,4897,44342,4949,4897,53,2.000,1
362,54,5305,5250,47528,5304,5250,55,2.000,1
363,55,840,784,7326,839,784,56,0.000,1
364,53,2584,2530,23028,2583,2530,54,1.000,1
365,53,16153,16099,145134,16152,16099,54,6.000,1
366,54,13441,13386,120748,13440,13386,55,5.000,1
367,52,8010,7957,71864,8009,7957,53,3.000,1
368,53,2062,2008,18344,2061,2008,54,1.000,1
369,51,4451,4399,39862,4450,4399,52,1.000,1
370,54,6183,6128,55422,6182,6128,55,3.000,1
371,53,3109,3055,27728,3108,3055,54,2.000,1
372,52,8241,8188,73954,8240,8188,53,3.000,1
373,56,563,506,4819,562,506,57,1.000,1
374,52,3092,3039,27631,3091,3039,53,2.000,1
375,56,17888,17831,160750,17887,17831,57,7.000,1
376,55,8189,8133,73472,8188,8133,56,4.000,1
377,52,2454,2401,21841,2453,2401,53,1.000,1
378,56,26255,26198,236049,26254,26198,57,14.000,1
379,56,9334,9277,83757,9333,9277,57,5.000,1
380,56,72919,72862,656026,72918,72862,57,43.000,1
381,53,5194,5140,46522,5193,5140,54,4.000,1
382,54,7653,7598,68652,7652,7598,55,5.000,1
383,58,50286,50227,452329,50285,50227,59,30.000,1
384,52,611,558,5283,610,558,53,0.000,1
385,53,691,637,5997,690,637,54,1.000,1
386,53,1468,1414,12993,1467,1414,54,0.000,1
387,56,30568,30511,274875,30567,30511,57,11.000,1
388,54,56051,55996,504239,56050,55996,55,26.000,1
389,54,2326,2271,20709,2325,2271,55,1.000,1
390,55,5725,5669,51287,5724,5669,56,2.000,1
391,50,3818,3767,34157,3817,3767,51,1.000,1
392,55,5330,5274,47733,5329,5274,56,3.000,1
393,54,18829,18774,169219,18828,18774,55,7.000,1
394,54,724,669,6301,723,669,55,1.000,1
395,52,20225,20172,181825,20224,20172,53,12.000,1
396,54,35166,35111,316281,35165,35111,55,18.000,1
397,51,309,257,2564,308,257,52,0.000,1
398,54,4461,4406,39937,4460,4406,55,3.000,1
399,51,8509,8457,76382,8508,8457,52,6.000,1
400,52,369,316,3100,368,316,53,1.000,1
401,51,506,454,4350,505,454,52,0.000,1
402,54,2335,2280,20798,2334,2280,55,3.000,1
403,56,1886,1829,16728,1885,1829,57,2.000,1
404,54,10788,10733,96872,10787,10733,55,6.000,1
405,52,927,874,8131,926,874,53,0.000,1
406,52,1313,1260,11602,1312,1260,53,1.000,1
407,54,57288,57233,515372,57287,57233,55,26.000,1
408,55,630,574,5449,629,574,56,1.000,1
409,54,805,750,7020,804,750,55,0.000,1
410,52,7734,7681,69397,7733,7681,53,2.000,1
411,53,1185,1131,10459,1184,1131,54,0.000,1
412,54,8742,8687,78467,8741,8687,55,3.000,1
413,53,508,454,4340,507,454,54,0.000,1
414,53,2234,2180,19898,2233,2180,54,2.000,1
415,55,1101,1045,9665,1100,1045,56,0.000,1
416,54,16179,16124,145407,16178,16124,55,7.000,1
417,53,1165,1111,10260,1164,1111,54,1.000,1
418,53,6291,6237,56392,6290,6237,54,4.000,1
419,52,1653,1600,14660,1652,1600,53,1.000,1
420,52,6679,6626,59871,6678,6626,53,5.000,1
421,55,7423,7367,66578,7422,7367,56,4.000,1
422,52,10106,10053,90738,10105,10053,53,7.000,1
423,54,1791,1736,15898,1790,1736,55,2.000,1
424,54,632,577,5453,631,577,55,1.000,1
425,54,20059,20004,180312,20058,20004,55,12.000,1
426,53,4093,4039,36610,4092,4039,54,3.000,1
427,55,52411,52355,471464,52410,52355,56,39.000,1
428,51,115,63,816,114,63,52,0.000,1
429,55,208815,208759,1879111,208814,208759,56,75.000,1
430,53,46796,46742,420933,46795,46742,54,16.000,1
431,54,23993,23938,215705,23992,23938,55,11.000,1
432,56,75734,75677,681380,75733,75677,57,40.000,1
433,55,495,439,4239,494,439,56,1.000,1
434,54,1482,1427,13108,1481,1427,55,1.000,1
435,51,1185,1133,10462,1184,1133,52,1.000,1
436,54,1630,1575,14430,1629,1575,55,1.000,1
437,53,1744,1690,15468,1743,1690,54,1.000,1
438,53,96,42,632,95,42,54,0.000,1
439,52,3832,3779,34268,3831,3779,53,2.000,1
440,51,283,231,2346,282,231,52,0.000,1
441,52,6374,6321,57126,6373,6321,53,4.000,1
442,55,715,659,6201,714,659,56,1.000,1
443,54,12305,12250,110521,12304,12250,55,9.000,1
444,53,145,91,1085,144,91,54,0.000,1
445,55,62639,62583,563505,62638,62583,56,40.000,1
446,57,10648,10590,95592,10647,10590,58,7.000,1
447,53,282,228,2301,281,228,54,0.000,1
448,51,1728,1676,15332,1727,1676,52,1.000,1
449,54,566,511,4861,565,511,55,0.000,1
450,54,27084,27029,243549,27083,27029,55,15.000,1
451,49,1252,1202,11068,1251,1202,50,1.000,1
452,53,270,216,2206,269,216,54,0.000,1
453,54,19130,19075,171956,19129,19075,55,13.000,1
454,53,914,860,8002,913,860,54,1.000,1
455,57,113932,113874,1025161,113931,113874,58,56.000,1
456,52,853,800,7459,852,800,53,0.000,1
457,52,156,103,1187,155,103,53,0.000,1
458,52,9041,8988,81163,9040,8988,53,3.000,1
459,55,4201,4145,37585,4200,4145,56,2.000,1
460,51,1834,1782,16277,1833,1782,52,1.000,1
461,56,1121,1064,9843,1120,1064,57,1.000,1
462,53,223162,223108,2008225,223161,223108,54,83.000,1
463,52,7311,7258,65606,7310,7258,53,2.000,1
464,53,1150,1096,10128,1149,1096,54,0.000,1
465,53,641,587,5550,640,587,54,1.000,1
466,54,14218,14163,127741,14217,14163,55,5.000,1
467,54,335,280,2779,334,280,55,1.000,1
468,54,417,362,3512,416,362,55,0.000,1
469,54,4573,4518,40920,4572,4518,55,2.000,1
470,55,11211,11155,100660,11210,11155,56,5.000,1
471,52,39470,39417,355011,39469,39417,53,14.000,1
472,55,2843,2787,25361,2842,2787,56,1.000,1
473,54,15246,15191,136989,15245,15191,55,6.000,1
474,55,30240,30184,271941,30239,30184,56,12.000,1
475,55,17836,17780,160294,17835,17780,56,7.000,1
476,54,5057,5002,45284,5056,5002,55,2.000,1
477,54,3544,3489,31674,3543,3489,55,1.000,1
478,54,4628,4573,41418,4627,4573,55,2.000,1
479,59,124404,124344,1119397,124403,124344,60,64.000,1
480,52,81505,81452,733333,81504,81452,53,41.000,1
481,54,1591,1536,14093,1590,1536,55,1.000,1
482,53,10612,10558,95294,10611,10558,54,4.000,1
483,55,85283,85227,767327,85282,85227,56,29.000,1
484,50,295,244,2438,294,244,51,0.000,1
485,53,8458,8404,75906,8457,8404,54,3.000,1
486,51,725,673,6305,724,673,52,0.000,1
487,53,7548,7494,67705,7547,7494,54,3.000,1
488,55,3176,3120,28353,3175,3120,56,1.000,1
489,51,870,818,7612,869,818,52,0.000,1
490,53,35147,35093,316109,35146,35093,54,14.000,1
491,52,2984,2931,26648,2983,2931,53,2.000,1
492,52,9795,9742,87946,9794,9742,53,4.000,1
493,54,19133,19078,171966,19132,19078,55,12.000,1
494,51,2128,2076,18935,2127,2076,52,1.000,1
495,52,4509,4456,40366,4508,4456,53,2.000,1
496,53,567,513,4881,566,513,54,0.000,1
497,56,4458,4401,39897,4457,4401,57,2.000,1
498,54,219,164,1752,218,164,55,0.000,1
499,56,109,52,738,108,52,57,0.000,1
500,53,2466,2412,21981,2465,2412,54,1.000,1
501,58,511,452,4358,510,452,59,0.000,1
502,56,16840,16783,151333,16839,16783,57,8.000,1
503,56,7538,7481,67600,7537,7481,57,4.000,1
504,56,113425,113368,1020595,113424,113368,57,44.000,1
505,58,145950,145891,1313316,145949,145891,59,49.000,1
506,55,8534,8478,76575,8533,8478,56,2.000,1
507,53,11077,11023,99478,11076,11023,54,4.000,1
508,55,45204,45148,406616,45203,45148,56,19.000,1
509,54,31212,31157,280661,31211,31157,55,23.000,1
510,54,24571,24516,220891,24570,24516,55,11.000,1
511,57,5431,5373,48634,5430,5373,58,5.000,1
512,52,2574,2521,22925,2573,2521,53,3.000,1
513,55,666062,666006,5994341,666061,666006,56,290.000,1
514,55,17122,17066,153866,17121,17066,56,6.000,1
515,54,4513,4458,40396,4512,4458,55,3.000,1
516,56,3170,3113,28295,3169,3113,57,3.000,1
517,56,23816,23759,214108,23815,23759,57,13.000,1
518,58,33959,33900,305387,33958,33900,59,19.000,1
519,54,848,793,7411,847,793,55,0.000,1
520,56,4564,4507,40847,4563,4507,57,1.000,1
521,56,83769,83712,753699,83768,83712,57,34.000,1
522,56,16157,16100,145171,16156,16100,57,7.000,1
523,56,187954,187897,1691351,187953,187897,57,88.000,1
524,57,723,665,6270,722,665,58,0.000,1
525,55,2666,2610,23766,2665,2610,56,2.000,1
526,56,1529,1472,13516,1528,1472,57,1.000,1
527,52,637,584,5524,636,584,53,1.000,1
528,58,13224,13165,118768,13223,13165,59,9.000,1
529,55,115932,115876,1043153,115931,115876,56,54.000,1
530,56,8931,8874,80134,8930,8874,57,3.000,1
531,56,26229,26172,235830,26228,26172,57,10.000,1
532,56,4636,4579,41484,4635,4579,57,2.000,1
533,55,846,790,7385,845,790,56,0.000,1
534,54,4069,4014,36406,4068,4014,55,1.000,1
535,54,729,674,6339,728,674,55,1.000,1
536,54,9526,9471,85530,9525,9471,55,3.000,1
537,54,1154,1099,10157,1153,1099,55,0.000,1
538,57,114156,114098,1027162,114155,114098,58,49.000,1
539,56,269711,269654,2427170,269710,269654,57,126.000,1
540,57,6249,6191,55999,6248,6191,58,3.000,1
541,55,475,419,4042,474,419,56,0.000,1
542,53,24159,24105,217200,24158,24105,54,10.000,1
543,55,86,30,548,85,30,56,0.000,1
544,55,11374,11318,102131,11373,11318,56,6.000,1
545,54,19366,19311,174058,19365,19311,55,12.000,1
546,56,170350,170293,1532919,170349,170293,57,84.000,1
547,56,13788,13731,123834,13787,13731,57,5.000,1
548,56,43406,43349,390415,43405,43349,57,16.000,1
549,55,2947,2891,26297,2946,2891,56,1.000,1
550,55,9965,9909,89462,9964,9909,56,5.000,1
551,56,114817,114760,1033112,114816,114760,57,56.000,1
552,54,1315,1260,11618,1314,1260,55,0.000,1
553,54,12943,12888,116268,12942,12888,55,4.000,1
554,55,13295,13239,119418,13294,13239,56,4.000,1
555,57,17843,17785,160348,17842,17785,58,8.000,1
556,53,13695,13641,123033,13694,13641,54,5.000,1
557,54,1428,1373,12642,1427,1373,55,0.000,1
558,57,232623,232565,2093365,232622,232565,58,103.000,1
559,57,4888,4830,43752,4887,4830,58,3.000,1
560,57,155473,155415,1399017,155472,155415,58,70.000,1
561,55,3138,3082,28019,3137,3082,56,1.000,1
562,53,3101,3047,27684,3100,3047,54,1.000,1
563,55,9412,9356,84489,9411,9356,56,5.000,1
564,55,159438,159382,1434715,159437,159382,56,56.000,1
565,55,82155,82099,739167,82154,82099,56,39.000,1
566,56,37846,37789,340368,37845,37789,57,22.000,1
567,56,3051,2994,27219,3050,2994,57,2.000,1
568,56,1776,1719,15761,1775,1719,57,1.000,1
569,56,50013,49956,449892,50012,49956,57,26.000,1
570,57,3960,3902,35399,3959,3902,58,3.000,1
571,57,87,29,546,86,29,58,0.000,1
572,57,193,135,1502,192,135,58,0.000,1
573,55,35661,35605,320706,35660,35605,56,18.000,1
574,53,1430,1376,12643,1429,1376,54,0.000,1
575,55,131314,131258,1181580,131313,131258,56,41.000,1
576,54,11859,11804,106510,11858,11804,55,4.000,1
577,56,2435,2378,21687,2434,2378,57,1.000,1
578,54,19808,19753,178042,19807,19753,55,8.000,1
579,56,3019,2962,26954,3018,2962,57,2.000,1
580,55,6391,6335,57311,6390,6335,56,2.000,1
581,55,1529,1473,13531,1528,1473,56,1.000,1
582,57,78074,78016,702429,78073,78016,58,26.000,1
583,56,3545,3488,31667,3544,3488,57,1.000,1
584,53,1697,1643,15074,1696,1643,54,1.000,1
585,56,28410,28353,255443,28409,28353,57,10.000,1
586,56,1748,1691,15504,1747,1691,57,0.000,1
587,57,14104,14046,126710,14103,14046,58,8.000,1
588,56,3644,3587,32567,3643,3587,57,2.000,1
589,56,1408,1351,12442,1407,1351,57,1.000,1
590,55,12656,12600,113672,12655,12600,56,8.000,1
591,54,17174,17119,154339,17173,17119,55,9.000,1
592,56,1494,1437,13203,1493,1437,57,1.000,1
593,55,7540,7484,67623,7539,7484,56,4.000,1
594,56,289018,288961,2600923,289017,288961,57,120.000,1
595,54,14043,13988,126150,14042,13988,55,8.000,1
596,56,9206,9149,82628,9205,9149,57,6.000,1
597,57,687715,687657,6189181,687714,687657,58,266.000,1
598,55,561942,561886,5057260,561941,561886,56,199.000,1
599,58,232083,232024,2088505,232082,232024,59,90.000,1
600,53,11610,11556,104288,11609,11556,54,4.000,1
601,56,40975,40918,368533,40974,40918,57,17.000,1
602,54,384969,384914,3464495,384968,384914,55,172.000,1
603,55,9019,8963,80952,9018,8963,56,4.000,1
604,56,20453,20396,183845,20452,20396,57,12.000,1
605,54,5181,5126,46401,5180,5126,55,3.000,1
606,55,10575,10519,94968,10574,10519,56,7.000,1
607,54,63656,63601,572667,63655,63601,55,31.000,1
608,55,15623,15567,140369,15622,15567,56,7.000,1
609,57,1393,1335,12297,1392,1335,58,1.000,1
610,56,61877,61820,556648,61876,61820,57,41.000,1
611,56,8872,8815,79621,8871,8815,57,5.000,1
612,54,3460,3405,30922,3459,3405,55,2.000,1
