id,empty_cells,recursive_calls,backtracks,candidate_checks,successful_assignments,failed_assignments,maximum_depth,execution_time_ms,solved
730,57,10473,10415,94028,10472,10415,58,8.000,1
731,55,2895,2839,25831,2894,2839,56,2.000,1
732,55,325,269,2696,324,269,56,0.000,1
733,55,36763,36707,330628,36762,36707,56,22.000,1
734,55,139356,139300,1253973,139355,139300,56,66.000,1
735,56,10711,10654,96164,10710,10654,57,8.000,1
736,56,3497,3440,31235,3496,3440,57,3.000,1
737,56,76992,76935,692687,76991,76935,57,43.000,1
738,54,1514,1459,13392,1513,1459,55,0.000,1
739,56,11564,11507,103838,11563,11507,57,6.000,1
740,54,6850,6795,61423,6849,6795,55,5.000,1
741,56,12945,12888,116274,12944,12888,57,6.000,1
742,55,29733,29677,267381,29732,29677,56,21.000,1
743,55,9281,9225,83290,9280,9225,56,6.000,1
744,56,39671,39614,356801,39670,39614,57,26.000,1
745,55,49851,49795,448416,49850,49795,56,24.000,1
746,55,23620,23564,212336,23619,23564,56,12.000,1
747,56,41410,41353,372462,41409,41353,57,54.000,1
748,55,3795,3739,33930,3794,3739,56,4.000,1
749,55,28479,28423,256075,28478,28423,56,32.000,1
750,55,4043,3987,36163,4042,3987,56,4.000,1
751,54,1637,1582,14514,1636,1582,55,1.000,1
752,56,9437,9380,84696,9436,9380,57,10.000,1
753,56,35953,35896,323348,35952,35896,57,41.000,1
754,56,31026,30969,278990,31025,30969,57,29.000,1
755,55,2181,2125,19417,2180,2125,56,1.000,1
756,58,115493,115434,1039197,115492,115434,59,103.000,1
757,56,367,310,3069,366,310,57,0.000,1
758,55,8124,8068,72892,8123,8068,56,5.000,1
759,56,3089,3032,27564,3088,3032,57,3.000,1
760,55,1582,1526,13998,1581,1526,56,2.000,1
761,58,249085,249026,2241525,249084,249026,59,185.000,1
762,57,110905,110847,997918,110904,110847,58,75.000,1
763,56,38709,38652,348131,38708,38652,57,20.000,1
764,56,2321,2264,20649,2320,2264,57,1.000,1
765,57,2395,2337,21323,2394,2337,58,3.000,1
766,55,17395,17339,156315,17394,17339,56,10.000,1
767,58,764,705,6642,763,705,59,1.000,1
768,55,4875,4819,43642,4874,4819,56,4.000,1
769,56,23511,23454,211362,23510,23454,57,16.000,1
770,57,28247,28189,253977,28246,28189,58,15.000,1
771,54,9567,9512,85880,9566,9512,55,8.000,1
772,56,19311,19254,173566,19310,19254,57,12.000,1
773,56,170249,170192,1531997,170248,170192,57,104.000,1
774,56,19283,19226,173305,19282,19226,57,11.000,1
775,55,3571,3515,31908,3570,3515,56,2.000,1
776,57,279,221,2281,278,221,58,0.000,1
777,57,169775,169717,1527748,169774,169717,58,105.000,1
778,56,28577,28520,256966,28576,28520,57,17.000,1
779,59,3028511,3028451,27256359,3028510,3028451,60,1818.000,1
780,55,312,256,2584,311,256,56,0.000,1
781,56,966,909,8470,965,909,57,1.000,1
782,53,28381,28327,255201,28380,28327,54,15.000,1
783,55,2650,2594,23615,2649,2594,56,1.000,1
784,56,10239,10182,91924,10238,10182,57,6.000,1
785,58,22468,22409,201969,22467,22409,59,9.000,1
786,55,21163,21107,190239,21162,21107,56,10.000,1
787,56,8720,8663,78247,8719,8663,57,7.000,1
788,57,11071,11013,99385,11070,11013,58,7.000,1
789,56,1678,1621,14864,1677,1621,57,1.000,1
790,55,1195,1139,10540,1194,1139,56,1.000,1
791,55,8076,8020,72459,8075,8020,56,7.000,1
792,53,35069,35015,315401,35068,35015,54,23.000,1
793,56,836,779,7286,835,779,57,1.000,1
794,55,45490,45434,409183,45489,45434,56,29.000,1
795,59,8142,8082,73025,8141,8082,60,3.000,1
796,56,15631,15574,140449,15630,15574,57,7.000,1
797,57,3108,3050,27745,3107,3050,58,2.000,1
798,57,7438,7380,66708,7437,7380,58,4.000,1
799,53,2890,2836,25791,2889,2836,54,2.000,1
800,56,1637,1580,14494,1636,1580,57,1.000,1
801,55,7017,6961,62926,7016,6961,56,5.000,1
802,55,6754,6698,60560,6753,6698,56,6.000,1
803,56,7062,7005,63315,7061,7005,57,6.000,1
804,57,7621,7563,68348,7620,7563,58,5.000,1
805,57,136590,136532,1229077,136589,136532,58,66.000,1
806,55,20654,20598,185645,20653,20598,56,7.000,1
807,57,12496,12438,112228,12495,12438,58,5.000,1
808,56,6224,6167,55796,6223,6167,57,3.000,1
809,57,1533,1475,13550,1532,1475,58,0.000,1
810,56,8324,8267,74688,8323,8267,57,5.000,1
811,55,27412,27356,246469,27411,27356,56,15.000,1
812,55,26458,26402,237879,26457,26402,56,14.000,1
813,59,15384,15324,138215,15383,15324,60,9.000,1
814,54,4028,3973,36025,4027,3973,55,3.000,1
815,57,550,492,4715,549,492,58,0.000,1
816,57,103408,103350,930437,103407,103350,58,70.000,1
817,56,10833,10776,97267,10832,10776,57,5.000,1
818,56,2600,2543,23164,2599,2543,57,1.000,1
819,56,22675,22618,203831,22674,22618,57,10.000,1
820,57,49419,49361,444531,49418,49361,58,27.000,1
821,57,2888,2830,25745,2887,2830,58,2.000,1
822,57,6843,6785,61354,6842,6785,58,5.000,1
823,54,719,664,6249,718,664,55,1.000,1
824,56,92159,92102,829203,92158,92102,57,47.000,1
825,56,4700,4643,42057,4699,4643,57,2.000,1
826,57,292949,292891,2636299,292948,292891,58,151.000,1
827,57,91714,91656,825180,91713,91656,58,48.000,1
828,56,8667,8610,77767,8666,8610,57,3.000,1
829,57,1302,1244,11485,1301,1244,58,0.000,1
830,56,5446,5389,48788,5445,5389,57,3.000,1
831,59,3694,3634,33002,3693,3634,60,1.000,1
832,56,316,259,2610,315,259,57,0.000,1
833,56,119641,119584,1076514,119640,119584,57,54.000,1
834,56,3948,3891,35294,3947,3891,57,2.000,1
835,56,195,138,1525,194,138,57,1.000,1
836,55,409,353,3445,408,353,56,0.000,1
837,55,19307,19251,173552,19306,19251,56,9.000,1
838,55,10686,10630,95962,10685,10630,56,7.000,1
839,58,12814,12755,115090,12813,12755,59,9.000,1
840,56,104300,104243,938475,104299,104243,57,71.000,1
841,57,52471,52413,472006,52470,52413,58,31.000,1
842,55,3520,3464,31453,3519,3464,56,2.000,1
843,55,37412,37356,336480,37411,37356,56,23.000,1
844,55,9133,9077,81959,9132,9077,56,4.000,1
845,54,4285,4230,38329,4284,4230,55,1.000,1
846,56,1186,1129,10446,1185,1129,57,0.000,1
847,57,128790,128732,1158880,128789,128732,58,55.000,1
848,55,751,695,6525,750,695,56,0.000,1
849,55,75131,75075,675938,75130,75075,56,39.000,1
