empty_cells,recursive_calls,backtracks,execution_time_ms
31,45.0,13.0,0.0
33,35.0,1.0,0.0
34,37.0,2.0,0.0
35,52.2,16.2,0.2
36,57.833333333333336,20.833333333333332,0.08333333333333333
37,80.18181818181819,42.18181818181818,0.18181818181818182
38,95.10714285714286,56.107142857142854,0.14285714285714285
39,87.91666666666667,47.916666666666664,0.1388888888888889
40,96.63333333333334,55.63333333333333,0.1
41,133.95238095238096,91.95238095238095,0.14285714285714285
42,198.28571428571428,155.28571428571428,0.17857142857142858
43,216.3,172.3,0.1
44,370.22727272727275,325.22727272727275,0.4090909090909091
45,335.7,289.7,0.4
46,300.9,253.9,0.5
47,3932.0,3884.0,2.5
49,1252.0,1202.0,1.0
50,1623.0,1572.0,0.5
51,5082.421052631579,5030.421052631579,2.8421052631578947
52,7472.325581395349,7419.325581395349,3.558139534883721
53,16562.907894736843,16508.907894736843,8.06578947368421
54,20237.476923076923,20182.476923076923,10.238461538461538
55,45107.28846153846,45051.28846153846,18.852564102564102
56,34962.42328042328,34905.42328042328,15.952380952380953
57,90733.0459770115,90675.0459770115,37.93103448275862
58,126989.17948717948,126930.17948717948,55.8974358974359
59,539808.1666666666,539748.1666666666,205.0
